"Dấu thời gian","Điểm số","Bạn có phải sinh viên UEH không ?","Trong 1 tháng qua, bạn có đặt trà sữa thông qua ứng dụng giao hàng không ?","Bạn có thích uống trà sữa không?","Lý do bạn chưa từng đặt trà sữa qua ứng dụng giao hàng là gì?","Bạn thường mua trà sữa bằng cách nào?  ","Điều gì có thể khiến bạn cân nhắc đặt trà sữa qua ứng dụng giao hàng? (Chọn nhiều đáp án nếu có)","  Bạn có dự định sử dụng ứng dụng giao hàng để đặt trà sữa trong tương lai không?  ","Bạn đã nghe qua thương hiệu nào dưới đây chưa?","mức tiền bạn sẵn sàn chi trả nếu bạn đặt trà sữa thông qua ứng dụng","Thời gian bạn sẵn sàng chờ đợi nếu có đặt trà sữa thông qua ứng dụng","Bạn đã từng mua hàng trực tiếp từ những thương hiệu nào ","Bạn có đã từng đặt trà sữa qua ứng dụng giao hàng nào?","Trong tuần trước bạn đã đặt trà sữa qua ứng dụng bao nhiêu lần?","Trung bình, bạn mất bao nhiêu phút để hoàn thành một đơn đặt trà sữa qua ứng dụng?","Bạn thường đặt trà sữa qua ứng dụng vào khoảng thời gian nào trong ngày?","Mức giá trung bình bạn thường chi cho một ly trà sữa qua ứng dụng là bao nhiêu?","Bạn có sẵn sàng đặt trà sữa với mức giá cao hơn nếu chất lượng tốt hơn không?( giá cả)","Bạn ưu tiên đặt trà sữa từ các thương hiệu nào nhất?","Bạn có sẵn sàng đặt trà sữa từ một quán mới chưa từng thử không?","Bạn sẵn sàng đợi bao lâu để nhận trà sữa đã đặt?","Bạn có thường xuyên hủy đơn vì thời gian giao hàng quá lâu không?","Ảnh hưởng của khuyến mãi & ưu đãi [Tôi thường chỉ đặt trà sữa khi có mã giảm giá hoặc ưu đãi từ ứng dụng.]","Ảnh hưởng của khuyến mãi & ưu đãi [Tôi ưu tiên đặt trà sữa từ cửa hàng có nhiều chương trình khuyến mãi hơn.]","Ảnh hưởng của khuyến mãi & ưu đãi [Nếu có freeship, tôi sẵn sàng đặt hàng ngay cả khi không thực sự có nhu cầu]","Ảnh hưởng của khuyến mãi & ưu đãi [Tôi thường chờ đến các dịp khuyến mãi lớn (sinh nhật app, ngày 8.8, 9.9, 10.10,...) để đặt trà sữa]","Ảnh hưởng của khuyến mãi & ưu đãi [Nếu giá trà sữa sau khi áp dụng mã giảm giá hấp dẫn, tôi có xu hướng đặt số lượng nhiều hơn.]","Ảnh hưởng của đánh giá & review [Tôi thường xem đánh giá sao trên ứng dụng trước khi quyết định đặt trà sữa.]","Ảnh hưởng của đánh giá & review [Tôi thích đặt hàng từ quán có nhiều đánh giá tích cực hơn.]","Ảnh hưởng của đánh giá & review [Nếu thấy một quán có đánh giá dưới 3 sao, tôi sẽ không đặt hàng.]","Ảnh hưởng của đánh giá & review [Tôi có xu hướng đọc các bình luận của người mua trước để xem phản hồi về chất lượng trà sữa.]","Ảnh hưởng của đánh giá & review [Tôi thường để lại đánh giá sau khi nhận trà sữa]","Bạn cảm thấy hài lòng như thế nào với trải nghiệm đặt trà sữa qua ứng dụng giao hàng?","Bạn có tiếp tục sử dụng ứng dụng để đặt trà sữa trong tương lai không?","Mức độ hài lòng về chất lượng sản phẩm Vui lòng đánh giá mức độ hài lòng của bạn về các khía cạnh sau (1: Rất không hài lòng – 5: Rất hài lòng): [Hương vị của trà sữa sau khi nhận hàng.]","Mức độ hài lòng về chất lượng sản phẩm Vui lòng đánh giá mức độ hài lòng của bạn về các khía cạnh sau (1: Rất không hài lòng – 5: Rất hài lòng): [Độ tươi mới của trà sữa khi nhận hàng.]","Mức độ hài lòng về chất lượng sản phẩm Vui lòng đánh giá mức độ hài lòng của bạn về các khía cạnh sau (1: Rất không hài lòng – 5: Rất hài lòng): [Nhiệt độ của trà sữa có phù hợp (đối với trà sữa nóng/lạnh)?]","Mức độ hài lòng về chất lượng sản phẩm Vui lòng đánh giá mức độ hài lòng của bạn về các khía cạnh sau (1: Rất không hài lòng – 5: Rất hài lòng): [Lượng topping có đúng với yêu cầu đặt hàng không?]","Mức độ hài lòng về chất lượng sản phẩm Vui lòng đánh giá mức độ hài lòng của bạn về các khía cạnh sau (1: Rất không hài lòng – 5: Rất hài lòng): [Đóng gói của quán có đảm bảo không bị đổ hay hỏng khi vận chuyển?]","Mức độ hài lòng về dịch vụ giao hàng Vui lòng đánh giá mức độ hài lòng của bạn với dịch vụ giao hàng (1: Rất không hài lòng – 5: Rất hài lòng): [Thời gian giao hàng có đúng với dự kiến không?]","Mức độ hài lòng về dịch vụ giao hàng Vui lòng đánh giá mức độ hài lòng của bạn với dịch vụ giao hàng (1: Rất không hài lòng – 5: Rất hài lòng): [Thái độ của shipper khi giao hàng]","Mức độ hài lòng về dịch vụ giao hàng Vui lòng đánh giá mức độ hài lòng của bạn với dịch vụ giao hàng (1: Rất không hài lòng – 5: Rất hài lòng): [Tình trạng trà sữa sau khi giao hàng có còn nguyên vẹn không?]","Mức độ hài lòng về dịch vụ giao hàng Vui lòng đánh giá mức độ hài lòng của bạn với dịch vụ giao hàng (1: Rất không hài lòng – 5: Rất hài lòng): [Ứng dụng có cập nhật trạng thái đơn hàng kịp thời không?]","Mức độ hài lòng về dịch vụ giao hàng Vui lòng đánh giá mức độ hài lòng của bạn với dịch vụ giao hàng (1: Rất không hài lòng – 5: Rất hài lòng): [Bạn có cảm thấy an toàn khi nhận hàng từ shipper?]","Bạn cảm thấy mức giá khi đặt trà sữa qua ứng dụng như thế nào? ( giá cả)","Bạn có hài lòng với số lượng mã giảm giá & khuyến mãi từ ứng dụng không?","Trên thang điểm từ 0 – 10, bạn có sẵn sàng giới thiệu ứng dụng đặt trà sữa mà bạn đang sử dụng cho bạn bè không? (0: Không bao giờ – 10: Chắc chắn giới thiệu)","Giới tính của bạn ?","Độ tuổi của bạn","Thu nhập trung bình hàng tháng"
"3/22/2025 3:34:48","0","Có","Không","","Tôi không có nhu cầu uống trà sữa, Tôi thấy phí giao hàng quá cao, Tôi lo ngại về chất lượng khi giao hàng, Ứng dụng không có quán trà sữa tôi thích","Mua trực tiếp tại quán","Nếu có chương trình giảm giá hấp dẫn, Nếu có freeship hoặc phí giao hàng rẻ hơn, Nếu có nhiều thương hiệu trà sữa yêu thích hơn, Nếu  thời gian giao hàng nhanh hơn","Có, tôi sẽ thử nếu ưu đãi tốt","shoppee food","25000 - 40000 đồng","30 - 40 phút","The Alley, Gong Cha, Phúc Long, Toco Toco, Koi Thé","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nam","18 - 20","5 - 10 triệu"
"3/22/2025 6:13:44","0","Có","Có","Có","","","","","","","","","Grab, Be food","1 - 3 lần","dưới 5 phút","Chiều ( 14h - 18h )","25000 - 40000 đồng","Trung lập","Phúc Long","Đôi khi thử nếu giá rẻ","Dưới 20p","chưa từng","Rất hài lòng","Rất hài lòng","Bình thường","Hài lòng","Rất hài lòng","Bình thường","Bình thường","Bình thường","Bình thường","Bình thường","hài lòng","Chắc chắn có","Hài lòng","Bình thường","Bình thường","Bình thường","Hài lòng","Hài lòng","Bình thường","Hài lòng","Bình thường","Bình thường","hợp lí","Hài lòng","6","Nữ","18 - 20","Tôi chưa có thu nhập"
"3/22/2025 6:53:37","0","Có","Có","Có","","","","","","","","","shoppee food, Grab","3 - 5 lần","10 - 20 phút","Tối ( 18h - 22h)","25000 - 40000 đồng","Trung lập","Toco Toco","Đôi khi thử nếu giá rẻ","20 - 30 phút","chưa từng","Hài lòng","Rất hài lòng","Hài lòng","Hài lòng","Rất hài lòng","Hài lòng","Rất hài lòng","Hài lòng","Hài lòng","Rất hài lòng","hài lòng","Có thể","Rất hài lòng","Rất hài lòng","Hài lòng","Rất hài lòng","Rất hài lòng","Rất hài lòng","Hài lòng","Rất hài lòng","Hài lòng","Hài lòng","Hơi đắt","Hài lòng","7","Nam","18 - 20","5 - 10 triệu"
"3/22/2025 7:02:42","0","Có","Có","Có","","","","","","","","","Be food, Ứng dụng giao hàng của cửa hàng","3 - 5 lần","10 - 20 phút","Chiều ( 14h - 18h )","41000 - 55000 đồng","Có sẵn sàng","Koi Thé","Chỉ khi có review tốt","30 - 40 phút","chưa từng","Hài lòng","Hài lòng","Bình thường","Hài lòng","Bình thường","Rất hài lòng","Bình thường","Bình thường","Bình thường","Bình thường","bình thường","Chắc chắn có","Bình thường","Bình thường","Hài lòng","Bình thường","Rất hài lòng","Hài lòng","Rất hài lòng","Rất hài lòng","Rất hài lòng","Rất hài lòng","hợp lí","Rất hài lòng","5","Nữ","18 - 20","2 - 5 triệu"
"3/22/2025 7:07:14","0","Có","Không","Matcha latte kèm ánh mắt của em","Tôi thích mua trực tiếp tại cửa hàng hơn, Tôi không có nhu cầu uống trà sữa","Mua trực tiếp tại quán","Nếu có chương trình giảm giá hấp dẫn","Có thể, nhưng tôi vẫn thích mua trực tiếp hơn","shoppee food, Grab food, Be Food","Dưới 25000 đồng","20 - 30 phút","Trà sữa gần xóm =))","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nam","18 - 20","Tôi chưa có thu nhập"
"3/22/2025 7:09:57","0","Có","Không","Không","Tôi thích mua trực tiếp tại cửa hàng hơn, Tôi không có nhu cầu uống trà sữa","Mua trực tiếp tại quán","Nếu có chương trình giảm giá hấp dẫn","Có thể, nhưng tôi vẫn thích mua trực tiếp hơn","shoppee food, Grab food, Be Food","Dưới 25000 đồng","20 - 30 phút","Gong Cha","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nam","18 - 20","Tôi chưa có thu nhập"
"3/22/2025 7:13:14","0","Có","Không","Không","Tôi thích mua trực tiếp tại cửa hàng hơn, Tôi không có nhu cầu uống trà sữa","Mua trực tiếp tại quán","Nếu có chương trình giảm giá hấp dẫn, Nếu có freeship hoặc phí giao hàng rẻ hơn, Nếu có ưu đãi dành cho lần đầu đặt","Có, tôi sẽ thử nếu ưu đãi tốt","shoppee food, Grab food, Be Food","25000 - 40000 đồng","20 - 30 phút","Phúc Long, Toco Toco","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nữ","18 - 20","2 - 5 triệu"
"3/22/2025 7:16:01","0","Có","Có","Có","","","","","","","","","shoppee food, Grab","1 - 3 lần","10 - 20 phút","Tối ( 18h - 22h)","25000 - 40000 đồng","Có sẵn sàng","Katinat","Sẵn sàng thử ngay","20 - 30 phút","chưa từng","Bình thường","Bình thường","Bình thường","Bình thường","Bình thường","Rất hài lòng","Rất hài lòng","Bình thường","Bình thường","Bình thường","hài lòng","Có thể","Bình thường","Bình thường","Bình thường","Bình thường","Bình thường","Bình thường","Bình thường","Bình thường","Bình thường","Bình thường","hợp lí","Bình thường","7","Nam","","2 - 5 triệu"
"3/22/2025 7:16:57","0","Có","Không","Có","Tôi thích mua trực tiếp tại cửa hàng hơn","Mua trực tiếp tại quán","Nếu có chương trình giảm giá hấp dẫn, Nếu có freeship hoặc phí giao hàng rẻ hơn","Có, tôi sẽ thử nếu ưu đãi tốt","shoppee food, Grab food, Be Food","25000 - 40000 đồng","20 - 30 phút","Phúc Long, Toco Toco","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nam","18 - 20","Tôi chưa có thu nhập"
"3/22/2025 7:18:40","0","Có","Không","Có","Tôi thấy phí giao hàng quá cao","Mua trực tiếp tại quán","Nếu có chương trình giảm giá hấp dẫn","Có, tôi sẽ thử nếu ưu đãi tốt","shoppee food, Grab food","25000 - 40000 đồng","20 - 30 phút","Phúc Long","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nữ","18 - 20","Tôi chưa có thu nhập"
